Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2020,2,San Juan,6.31,1.04
2020,2,San Luis,21.02,1.0
2020,2,Santa Cruz,6.59,1.03
2020,2,Santa Fe,23.94,1.07
2020,2,Santiago Del Estero,10.41,1.04
2020,2,Tierra Del Fuego,8.13,1.1
2020,2,Tucumán,32.7,1.01
2020,3,Buenos Aires,48.38,1.06
2020,3,Capital Federal,63.8,1.06
2020,3,Catamarca,36.53,1.05
2020,3,Chaco,30.8,1.1
2020,3,Chubut,7.4,0.97
2020,3,Córdoba,33.5,1.08
2020,3,Corrientes,23.84,1.08
2020,3,Entre Ríos,22.44,1.1
2020,3,Formosa,18.28,1.08
2020,3,Jujuy,21.9,1.38
2020,3,La Pampa,10.7,1.33
2020,3,La Rioja,12.19,1.04
2020,3,Mendoza,10.19,1.1
2020,3,Misiones,24.14,1.07
2020,3,Neuquén,31.45,1.08
2020,3,Río Negro,21.08,1.07
2020,3,Salta,25.27,1.12
2020,3,San Juan,6.03,0.96
2020,3,San Luis,20.84,0.99
2020,3,Santa Cruz,6.65,1.01
2020,3,Santa Fe,25.69,1.07
2020,3,Santiago Del Estero,10.88,1.05
2020,3,Tierra Del Fuego,8.51,1.05
2020,3,Tucumán,34.84,1.07
2020,4,Buenos Aires,50.0,1.03
2020,4,Capital Federal,67.3,1.06
2020,4,Catamarca,37.66,1.03
2020,4,Chaco,32.44,1.05
2020,4,Chubut,7.38,1.0
2020,4,Córdoba,35.12,1.05
2020,4,Corrientes,25.45,1.07
2020,4,Entre Ríos,24.05,1.07
2020,4,Formosa,19.7,1.08
2020,4,Jujuy,25.2,1.15
2020,4,La Pampa,9.88,0.92
2020,4,La Rioja,12.53,1.03
2020,4,Mendoza,11.09,1.09
2020,4,Misiones,24.95,1.03
2020,4,Neuquén,33.9,1.08
2020,4,Río Negro,21.64,1.03
2020,4,Salta,25.31,1.0
2020,4,San Juan,6.41,1.06
2020,4,San Luis,21.25,1.02
2020,4,Santa Cruz,7.49,1.13
2020,4,Santa Fe,27.3,1.06
2020,4,Santiago Del Estero,11.28,1.04
2020,4,Tierra Del Fuego,8.49,1.0
2020,4,Tucumán,36.44,1.05
2021,1,Buenos Aires,50.78,1.02
2021,1,Capital Federal,68.3,1.01
2021,1,Catamarca,39.97,1.06
2021,1,Chaco,33.62,1.04
2021,1,Chubut,7.53,1.02
2021,1,Córdoba,36.16,1.03
2021,1,Corrientes,25.98,1.02
2021,1,Entre Ríos,23.88,0.99
2021,1,Formosa,20.98,1.06
2021,1,Jujuy,26.78,1.06
2021,1,La Pampa,10.73,1.09
2021,1,La Rioja,12.7,1.01
