Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2019,4,Salta,149,1,42159,67656,15369,14170,25821,172445
2019,4,San Juan,48,1,60626,1594,1292,40,127,64974
2019,4,San Luis,105,0,11901,4164,525,55216,3,108201
2019,4,Santa Cruz,67,0,32368,4346,2224,7,8,39370
2019,4,Santa Fe,698,0,230234,190664,113527,70998,135576,769169
2019,4,Santiago Del Estero,133,908,34911,56309,3756,105,2449,103588
2019,4,Tierra Del Fuego,11,0,23593,5050,1848,139,1962,40392
2019,4,Tucumán,55,0,54544,52017,28916,6405,56707,198644
2019,3,Buenos Aires,238920,44648,1432722,222812,260506,483572,1246209,3971683
2019,3,Capital Federal,104,368,269704,120924,138011,258591,655108,1442810
2019,3,Catamarca,34,43,14449,9285,6333,72,15,32382
2019,3,Chaco,69,1216,32764,28198,13336,12987,16740,112227
2019,3,Chubut,74,840,62680,13033,7171,1240,614,90152
2019,3,Córdoba,83,5824,240151,106651,118486,146247,157546,782341
2019,3,Corrientes,10,597,42231,29628,10348,10388,12674,110656
2019,3,Entre Ríos,19,4446,99656,56161,17064,21216,22645,236314
2019,3,Formosa,1110,349,24943,6049,7117,2262,4443,46373
2019,3,Jujuy,27,885,31722,9240,26835,56,3671,88981
2019,3,La Pampa,237,3289,75849,5922,1611,1359,941,90826
2019,3,La Rioja,9,10,38657,4786,4887,22,1307,49678
2019,3,Mendoza,21,1269,206821,2958,10093,1263,349,222774
2019,3,Misiones,47,1928,43530,29375,11256,16107,16650,131099
2019,3,Neuquén,45,2258,62909,4586,9597,16923,28458,124898
2019,3,Río Negro,47,1234,87435,2348,9779,10176,15505,144243
2019,3,Salta,49,900,43160,62230,14309,11418,12357,151938
2019,3,San Juan,22,171,68315,2245,1267,41,128,76968
2019,3,San Luis,57,100,18643,5113,467,62242,5,122702
2019,3,Santa Cruz,28,84,31612,4472,1203,27,4,37430
2019,3,Santa Fe,640,8184,242454,193286,107068,84325,97082,752576
2019,3,Santiago Del Estero,39,1832,35554,55172,3612,86,1836,132632
2019,3,Tierra Del Fuego,6,14,32133,4692,1756,82,226,48557
2019,3,Tucumán,16,110,71043,47693,24354,843,20385,164444
2019,2,Buenos Aires,199768,46852,1436259,217785,438663,502275,985767,3870807
2019,2,Capital Federal,74,1027,281370,124087,239691,296155,475991,1418395
2019,2,Catamarca,34,43,16631,8670,6049,34,10,33622
2019,2,Chaco,69,1383,38488,26431,16789,15348,9904,109904
2019,2,Chubut,66,3952,69032,10049,1495,74,165,89333
2019,2,Córdoba,81,8165,248427,100512,157458,170159,76053,769793
2019,2,Corrientes,10,3012,40424,27774,13114,11928,7119,109461
2019,2,Entre Ríos,18,5905,100687,52316,23196,24221,10664,234213
2019,2,Formosa,1110,349,26512,5399,8384,2639,2258,46751
2019,2,Jujuy,27,940,26233,8441,26700,27,2600,86733
2019,2,La Pampa,236,3289,75406,5191,1366,1445,629,90223
2019,2,La Rioja,9,11,39819,4297,4857,13,1298,50304
2019,2,Mendoza,20,2522,205165,2971,10092,1256,234,222260
2019,2,Misiones,47,2226,45769,27385,15408,18882,8129,130052
2019,2,Neuquén,302,3038,61776,4688,17318,21210,14132,122886
2019,2,Río Negro,384,1354,86366,2201,10291,12407,6907,138429
2019,2,Salta,49,974,59638,36923,16961,14059,6461,142650
2019,2,San Juan,22,213,60913,2177,785,7,4,70240
2019,2,San Luis,57,102,16575,4964,467,57236,5,117383
2019,2,Santa Cruz,25,84,24861,3806,1202,28,4,30010
2019,2,Santa Fe,321,8427,300124,125176,129741,100131,49865,736108
2019,2,Santiago Del Estero,39,1832,63268,21362,3741,108,1205,126056
2019,2,Tierra Del Fuego,6,123,41824,4241,1573,96,32,47895
2019,2,Tucumán,16,157,78891,44296,24291,628,18394,166673
2019,1,Buenos Aires,162513,72296,1429964,202511,576428,576859,705769,3732709
2019,1,Capital Federal,74,7417,283787,131007,330122,365713,283463,1401583
2019,1,Catamarca,34,1708,18761,6443,5606,29,7,34739
2019,1,Chaco,69,3801,38719,25632,18965,12393,6368,106982
2019,1,Chubut,66,3938,71077,6571,787,74,165,82678
