Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra optica,Wireless,Total Tecnologia,Mbps (Media de bajada),Tasa de crecimiento Velocidad,Accesos por cada 100 hogares,Tasa de Crecimiento Penetracion,Ingresos (miles de pesos),Ingresos (miles USD),Tasa de Crecimiento Ingresos
Santa Fe,2015,3,60.69438691901821,37.757828960400495,0.750751832309881,0.7970322882714159,555310,4.56,1.06,52.15,5.99593495934958,5153738.88,561.76,30.760457158818454
Santiago Del Estero,2015,3,86.07717123479055,11.08796707902558,0.04826377422714456,2.786597911956715,39367,3.91,1.05,17.12,3.8204972710733864,5153738.88,561.76,30.760457158818454
Tierra Del Fuego,2015,3,72.11903017172715,25.759072227355272,2.1187115684837674,0.0031860324338101762,31387,3.48,1.0,74.86,13.959506774242648,5153738.88,561.76,30.760457158818454
Tucumán,2015,3,99.07184051461209,0.7867520656574059,0.08040814063106527,0.06099927909942882,144264,4.57,1.06,36.61,7.866823806717749,5153738.88,561.76,30.760457158818454
Buenos Aires,2015,2,55.350188085031924,39.92833522876389,4.04723996150818,0.6742367246960022,2857750,4.46,1.03,56.8,3.160188884852877,4701790.72,512.5,26.87213764079712
Capital Federal,2015,2,33.984662664100945,64.36866599973902,1.4837890088925352,0.16288232726749147,1333478,5.31,1.06,116.07,2.5897118614106374,4701790.72,512.5,26.87213764079712
Catamarca,2015,2,98.99395593682979,0.9436537336712809,0.058490933905244694,0.0038993955936829795,25645,3.68,1.06,25.45,3.0364372469635637,4701790.72,512.5,26.87213764079712
Chaco,2015,2,66.54217428138462,33.18219241829441,0.21358597730499837,0.062047323015977186,83807,5.19,1.06,27.46,31.011450381679385,4701790.72,512.5,26.87213764079712
Chubut,2015,2,74.89349374595277,1.2985242493439215,1.560955659316315,22.247026345387,58682,3.22,1.0,36.58,-11.663849311760444,4701790.72,512.5,26.87213764079712
Córdoba,2015,2,57.130431928580805,41.944991466456614,0.07138637258763292,0.8531902323749507,609360,4.56,1.06,55.87,4.527595884003732,4701790.72,512.5,26.87213764079712
Corrientes,2015,2,66.33681201887858,31.88821770406754,0.18854555717013535,1.5864247198837504,83269,4.85,1.05,29.58,31.000885739592565,4701790.72,512.5,26.87213764079712
Entre Ríos,2015,2,66.97067249475768,29.396615375527922,0.07029150299772587,3.562420626716678,169295,4.55,1.05,42.93,23.753243009512826,4701790.72,512.5,26.87213764079712
Formosa,2015,2,78.13703703703703,19.125925925925927,0.007407407407407408,2.72962962962963,27000,3.76,1.11,18.36,4.675028506271373,4701790.72,512.5,26.87213764079712
Jujuy,2015,2,85.39549446758829,14.546129965240004,0.05837556717170377,0.0,37687,3.41,1.05,20.29,8.444681988241577,4701790.72,512.5,26.87213764079712
La Pampa,2015,2,20.091352968971492,64.30146479760592,5.857615372499606,9.74956686092298,63490,2.86,1.01,56.71,14.081673707503528,4701790.72,512.5,26.87213764079712
La Rioja,2015,2,99.89078332625448,0.0,0.09708148777380014,0.012135185971725018,16481,4.0,1.06,16.88,2.3030303030302957,4701790.72,512.5,26.87213764079712
Mendoza,2015,2,90.74233016260115,7.712751789086131,1.5224249886054895,0.022493059707235072,168941,3.5,1.0,32.49,1.2149532710280297,4701790.72,512.5,26.87213764079712
Misiones,2015,2,66.86590436590436,33.086640151857544,0.04180602006688963,0.005649462171201302,88504,5.33,1.07,27.35,17.03038083012409,4701790.72,512.5,26.87213764079712
Neuquén,2015,2,49.510969017520985,35.94956144963506,1.0979534316303137,13.441516101213638,95086,4.06,1.04,53.12,4.484657749803289,4701790.72,512.5,26.87213764079712
Río Negro,2015,2,68.53428357243348,26.975015147002946,0.9406545559104119,3.5500467246531593,97379,3.67,1.02,45.98,1.4339289653650944,4701790.72,512.5,26.87213764079712
Salta,2015,2,79.04224717720884,20.7775855538608,0.04811285022572092,0.13205441870463827,97687,4.22,1.05,30.46,5.361466620546529,4701790.72,512.5,26.87213764079712
San Juan,2015,2,95.28191072826938,0.8829287392325764,1.5074393108848865,2.3277212216131558,51080,3.48,1.0,27.64,-0.5039596832253412,4701790.72,512.5,26.87213764079712
San Luis,2015,2,89.00654001868577,7.9803799439426975,2.756150731859234,0.2569293055123015,12844,3.5,1.0,9.71,-0.10288065843621075,4701790.72,512.5,26.87213764079712
Santa Cruz,2015,2,65.67221675298549,11.586696913923726,1.6949878012241577,21.046098531866626,23363,3.47,1.0,27.07,-7.862491490810076,4701790.72,512.5,26.87213764079712
Santa Fe,2015,2,61.122497472472425,37.55694964577916,0.5278908768639943,0.7926620048844125,544999,4.3,1.06,51.18,5.765654060756353,4701790.72,512.5,26.87213764079712
Santiago Del Estero,2015,2,86.08569685879841,11.093321134492223,0.04828707939412423,2.7726949273152384,39348,3.73,1.04,17.11,2.455089820359291,4701790.72,512.5,26.87213764079712
Tierra Del Fuego,2015,2,72.48390918697365,25.383457683563353,2.129430977616958,0.003202151846040539,31229,3.48,1.01,74.51,15.77066500932256,4701790.72,512.5,26.87213764079712
Tucumán,2015,2,99.51431801858817,0.3406173778861812,0.08248771573026517,0.06257688779537357,140627,4.31,1.06,35.69,5.156157925751326,4701790.72,512.5,26.87213764079712
Buenos Aires,2015,1,55.88386043710655,38.71775303204982,4.736379867711626,0.662006663132011,2832902,4.32,1.03,56.37,3.2985156679494088,4876385.32,531.53,44.229777765717856
Capital Federal,2015,1,34.51686450354892,63.86493222711598,1.4669140101896425,0.15128925914545088,1318005,5.0,1.05,114.9,2.3608017817372096,4876385.32,531.53,44.229777765717856
Catamarca,2015,1,98.97987426357201,0.9529081491439643,0.06326361156142501,0.0039539757225890634,25291,3.48,1.04,25.11,3.546391752577316,4876385.32,531.53,44.229777765717856
Chaco,2015,1,67.5883105382269,32.17676867066811,0.20171209288595884,0.03320869821902982,81304,4.9,1.23,26.65,28.619691119691115,4876385.32,531.53,44.229777765717856
Chubut,2015,1,76.31922150882825,1.198836276083467,1.5148475120385232,20.96709470304976,59808,3.21,1.01,37.61,-8.802133850630467,4876385.32,531.53,44.229777765717856
Córdoba,2015,1,57.64944921015177,41.50227910150258,0.06957168985443592,0.7786999984912163,596507,4.3,1.05,54.7,4.150799695354146,4876385.32,531.53,44.229777765717856
Corrientes,2015,1,67.07950263290331,31.143134198284013,0.1583424370005769,1.6190207318121004,81469,4.63,1.22,28.95,29.704301075268802,4876385.32,531.53,44.229777765717856
Entre Ríos,2015,1,67.75998793909241,28.59098447158149,0.06512890094979647,3.5838986883763004,165825,4.35,1.14,42.07,22.403258655804482,4876385.32,531.53,44.229777765717856
Formosa,2015,1,78.89956462993545,18.582044738027324,0.0037531902116799284,2.5146374418255517,26644,3.38,1.12,18.12,4.018369690011481,4876385.32,531.53,44.229777765717856
Jujuy,2015,1,86.13807245386192,13.801777170198223,0.06015037593984962,0.0,36575,3.24,1.04,19.69,6.894679695982631,4876385.32,531.53,44.229777765717856
La Pampa,2015,1,21.1666371410626,63.72860064741598,5.177717295025204,9.927044916496223,62093,2.83,1.03,55.51,14.61903778649598,4876385.32,531.53,44.229777765717856
La Rioja,2015,1,99.88957055214725,0.0,0.09815950920245399,0.012269938650306749,16300,3.78,1.06,16.7,2.516881522406389,4876385.32,531.53,44.229777765717856
Mendoza,2015,1,90.71556946808384,7.75438304152731,1.5127890784007998,0.017258411988050035,168034,3.5,1.0,32.37,1.441554371670306,4876385.32,531.53,44.229777765717856
Misiones,2015,1,68.4364465013567,31.522441356465762,0.03523897900931484,0.00587316316821914,85133,4.97,1.23,26.31,13.699222126188415,4876385.32,531.53,44.229777765717856
Neuquén,2015,1,51.21467526028756,34.65327326421073,1.103662348300317,13.028389127201399,92782,3.91,1.02,51.95,4.33822052621009,4876385.32,531.53,44.229777765717856
Río Negro,2015,1,69.12830783031364,26.303053060883897,0.9460629387405992,3.622576170061854,95871,3.59,1.01,45.33,0.9352037408149716,4876385.32,531.53,44.229777765717856
Salta,2015,1,79.26265365711733,20.554464499101176,0.04883776510074088,0.13404407868075688,96237,4.02,1.04,30.01,4.564459930313602,4876385.32,531.53,44.229777765717856
San Juan,2015,1,95.33377942218374,0.8875856096984965,1.485869479650476,2.2927654884672912,50812,3.48,1.0,27.55,-0.18115942028985588,4876385.32,531.53,44.229777765717856
San Luis,2015,1,89.03276131045241,7.995319812792512,2.7379095163806553,0.234009360374415,12820,3.5,1.0,9.72,3.9572192513369187,4876385.32,531.53,44.229777765717856
Santa Cruz,2015,1,67.34083641347232,11.213090244611488,1.6279745836621122,19.81809875825408,24079,3.47,1.04,27.99,-3.2826537664132793,4876385.32,531.53,44.229777765717856
Santa Fe,2015,1,61.46766866692839,37.2080459125493,0.5318452881685454,0.792440132353766,534930,4.06,1.07,50.24,4.99477533960293,4876385.32,531.53,44.229777765717856
